Unit Title,Module,Est. Time (in hrs),Topic,Description,Language,Format
,Module 4,3,Data Management,"Tools for data collection: Mobile data tools - Google form, Open data kit, Kobo toolbox and lab on building your survey using one of this tools",English,Virtual/Hybrid/In-person
Leadership and Design,Module 1,1.5,Change Management,Provides an overview of Design thinking and its use in a data project,English,Virtual/Hybrid/In-person
,Module 2,1,Change Management,Provides an overview of Servant Leadership and how it can be useful while leading a data project,English,Virtual/Hybrid/In-person
,Module 3,2,Change Management,Provides an overview of Presentation skills and how it can be utilized to increase uptake of data,English,Virtual/Hybrid/In-person
Best Practices in Data Management,Module 1,,Data Management, Topics on best practices in data management such life cycle of data and data management principles.,English,Virtual/Hybrid/In-person
Open Data for Policymakers,,0.5,Data Management,"Povides a general overview of Open Data principles and best practices for public policymakers, with focus on the development and implementation of an Open Data program",English,MOOC
Open Data for Users,,0.5,Data Management,"Provides a broad overview of Open Data from a user standpoint, and empower anyone to take full advantage of Open Data.",English,MOOC
Open Data for Producers,,0.5,Data Management,,English,MOOC
Introduction to the Open Data for Resilience Initiative (OpenDRI),,0.5,Data Management,Provides an overview of the approach and toolset developed by the Open Data for Resilience Initiative.,English,MOOC
Collecting Data on Diability Inclusion,,3,Data Management,"Provides training on collecting data on disabled person to provide equal opportunities, the tools used, and analysis of the data.",English,MOOC
Data for Better Lives: A New Social Contract,,18,Data Management,Principles of a new social contract for data and data governance needed to transform lives for the poor.,English,MOOC
Enhancing FCV Operations with Geospatial ICT Tools,,2,Geospatial,"Data literacy on novel data sources, remote sensing, drones, and mobile.",English,MOOC
Digital Security,,, Data Literacy,Provides an oveview of how to secure your digital footprint in the online and mobile world,English,MOOC
Data Ethics & Privacy Considerations,,, Data Literacy,Provides an overview of data ethics and privacy considerations,English,MOOC
Introduction to Probability and Inferential Statistics,,4, Data Literacy,"overs topics on probability theory, theoritical probability and experimental probability, compound probabilities, conditional probabilities, inferential statistics and correlation and regression.",English,Virtual/Hybrid/In-person
Data Collection Course,Module 1,1.5, Data Literacy,Provides an overview process of actually collecting the data to eventually generate insights,English,Virtual/Hybrid/In-person
,Module 2,1.5, Data Literacy,"Provides an overview of  tools, techniques and best practices you need to turn
collected data into something that can be published, analysed and presented.",English,Virtual/Hybrid/In-person
Reproducible Research Fundamendtals Course,,,Impact Evaluation,Provides an overview DIME’s standards for data work.,,
R for Advanced Stata Users,,,Data Literacy,"Provides an overview of the language, focusing on common tasks and analysis in development research.",,
Foundations of Python for Data Science,,,Python,Provides basic lessons on Python,,
Geospatial: Nighttime Lights tutorials ,,,Geospatial,Provides an overview of remote sensing data as well as provide guidance on the tools to work with these data.,,
Microdata management training ,,,Data Management,"An open-source software designed for researchers to browse, search, compare, apply for access and download research data.",,
CAPI Training ,,,Data Management,Survey solutions training program,,
Metadata Standards and Schemas for Improved Data Discoverability and Usability,,,Data Management,"The target audience for this Guide comprises data curators and administrators of data catalogs or data libraries, and the developers of data management and dissemination platforms.",,
